id,name,kcal
D28001,水蜜桃平均值,37
D2800101,水蜜桃,38
D2800102,甜蜜桃,36
D28002,脆桃平均值,40
D2800201,白油桃,33
D2800202,玫瑰桃,48
D2800203,福壽桃,42
D2800204,鶯哥桃,38
D2800301,蟠桃,43
D2900101,胭脂梅,31
D30001,西洋梨平均值,49
D3000101,西洋梨(青皮),58
D3000102,西洋梨(紅皮),50
D3000103,西洋梨(黃皮),41
D3000201,幸水梨,32
D3000202,大雪梨,40
D3000203,新世紀梨,39
D3000204,新興梨,42
D3000205,橫山梨,44
D3000206,豐水梨,35
D3000301,將軍蜜梨,48
D3000302,梨山蜜梨,45
D31001,印度棗平均值(大),41
D3100101,印度棗(長形),40
D3100102,蜜棗(圓形),41
D3100201,珍珠蜜棗,42
D3100301,台灣土棗,82
D3100401,紅棗,215
D3100402,黑棗,213
D32001,蘋果平均值(青皮),47
D3200101,青龍蘋果,50
D3200102,翠玉青蘋果,43
D3200201,翠玉青蘋果(帶皮),50
D3200301,美國五爪蘋果,48
D32004,蘋果平均值(混色),49
D3200401,加拉蘋果,53
D3200402,津經蜜蘋果,54
D3200403,秋香蘋果,43
D3200404,富士蘋果,47
D3200501,富士蘋果(帶皮),42
D3200601,金冠蘋果,46
D3300101,櫻桃,73
D3300201,白櫻桃,68
D3400101,椪柑,38
D3400201,紅柑,40
D3400202,茂谷柑,42
D3400203,海梨桶柑,41
D3400204,高牆桶柑,43
D3400205,檸檬柑,45
D3400301,長果金柑,50
D3400302,圓果金柑,28
D3400303,圓果金柑汁(綠皮),30
D3500101,文旦,31
D3500201,白柚,36
D3500301,西施蜜柚,38
D36001,甜橙平均值(普遍系),42
D3600101,柳橙,40
D3600102,香吉士(進口),44
D3600103,澳洲甜橙(進口),43
D3700101,青皮葡萄柚,31
D3700201,紅寶石葡萄柚(古坑),35
D3700301,黃皮葡萄柚(進口),36
D3700401,黃皮葡萄柚,36
D3800101,檸檬,31
D3800201,萊姆,35
D38003,檸檬汁平均值,30
D3800301,檸檬汁(黃皮),30
D3800302,檸檬汁(綠皮),31
D3830102,萊姆汁,34
D3930101,紅甘蔗汁,63
D4000101,人心果,68
D41301,可可椰子汁平均值,18
D4130101,可可椰子汁(屏東),17
D4130102,可可椰子汁(進口),19
D4200101,香瓜茄,23
D4300101,蛋黃果,96
E0100101,牛蒡,75
E02001,胡蘿蔔平均值,34
E0200101,胡蘿蔔,32
E0200102,向陽二號胡蘿蔔,39
E0200103,澳洲胡蘿蔔(細長型),29
E0200201,黃胡蘿蔔,34
E0200301,冷凍胡蘿蔔,9
E0300101,根菾菜根,30
E04001,白蘿蔔平均值,16
E0400101,白蘿蔔,14
E0400102,白蘿蔔(長形),17
E0400201,櫻桃蘿蔔,9
E0400301,青蘿蔔,30
E0420101,蘿蔔乾,44
E0500101,百合鱗片,132
E0510101,乾百合鱗片,255
E0600101,芋莖,17
E0700101,金針菜嫩莖,20
E0800101,草石蠶,70
E0900101,球莖甘藍,18
E1000101,孟宗竹筍,36
E1100101,熟桂竹筍,18
E1100201,桂竹筍片,13
E1200101,烏殼綠竹筍,18
E1300101,茭白筍,16
E1400101,麻竹筍,17
E1400201,冷凍麻竹筍,14
E1410101,麻竹筍干,144
E1500101,綠竹筍,22
E1500201,帶殼熟綠竹筍,22
E1500301,沙拉筍塊,20
